code	name
1A	ACCESS
1B	PIONEER
1F	ALFER
1G	LEXMOTO
1H	BTM
1J	ZHENHUA
1K	HAOTIAN
1L	YUAN
1M	RHON
1N	POR
1P	DAJIANG
1R	MAXUS
1T	FYM
1U	BZR
1V	BAIMO
1W	VOR
1X	SKYTEAM
1Y	BAOTIAN
1Z	JINLUN
2A	AIE
2B	SFMM
2F	MOTOBI
2G	ERIDER
2H	PULSE
2J	VECTRIX
2K	WANGYE
2L	"JM STAR"
2M	XINGYUE
2N	"WHITE KNUCKLE"
2P	SUMOTO
2R	DAIFO
2T	X-SPORT
2U	EGO
2V	RENEGADE
2W	"BRITISH TRACKSTAR"
2X	"MOTO AUPA"
2Y	HIMO
2Z	HUONIAO
3A	APEX
3B	CAN-AM
3E	OVER
3F	"KSR MOTO"
3G	HONDA
3H	BLATA
3J	MEGELLI
3K	VONROAD
3L	BARONI
3M	BARON
3N	"MARTIN CONQUEST"
3P	THUMPSTAR
3R	YIYING
3T	XINLING
3U	POLARIS
3V	XGJAO
3W	JONWAY
3X	FMC
3Y	SUKIDA
4A	AXR
4B	GSMOON
4E	MOTORINI
4F	HONLEY
4G	ORION
4H	BEELINE
4J	ZNEN
4K	GAMAX
4L	CHONGQING
4M	SANILI
4N	MONIKA
4P	KEEWAY
4R	YAMOTO
4T	DAKAR
4U	LUCKY
4V	INDIAN
4W	SANLI
4X	ECO
4Y	KINLON
5A	KASEA
5B	GOKA
5E	QUADRO
5F	SFM
5G	HANWAY
5H	CECTEK
5J	EXPLORER
5K	HUATIAN
5L	JAXIN
5M	SANLI
5N	TAYAKO
5P	"CHANG MING"
5R	SUPERBYKE
5T	GENERIC
5U	KINGTON
5V	BRA
5W	URBAN
5X	OXYGEN
5Y	"CH RACING"
6A	LINHAI
6B	HAMMERHEAD
6E	MASH
6F	"HERALD MOTOR COMPANY"
6G	NECO
6H	SHENKE
6J	CSR
6K	"NORTON VILLIERS"
6L	LINMAX
6M	DAYUN
6N	HUASHA
6P	ZHONGNENG
6R	STARWAY
6T	GIANTCO
6U	KAWATA
6V	VOXAN
6W	KEEN
6X	HONGYI
6Y	CKR
7A	BRP
7B	NFM
7E	"SP MOTO"
7F	SINNIS
7G	OSSA
7H	LEIKE
7J	SANYA
7K	"CF MOTO"
7L	WUYANG
7M	DAYANG
7N	GRINNALL
7P	LONGJIA
7R	BETTER
7T	"DIRT PRO"
7U	PRAGA
7V	ETON
7W	SHINERAY
7X	FEIYING
7Y	LONCIN
8A	DINLI
8B	GEM
8E	GOVECS
8F	NIPPONIA
8G	ZONTES
8H	GO-KART
8J	ZENNCO
8K	QUADZILLA
8L	SANBEN
8M	YAMATI
8N	KAISAR
8P	"YIBEN MEIDUC"
8R	NECHT
8T	FUTONG
8U	GEELY
8V	AJP
8W	TEC
8X	TIANJIN
8Y	QINGQI
9A	BOMBARDIER
9E	"ERIK BUELL RACING"
9F	SAITING
9G	"WK BIKES"
9H	JCM
9J	SONIK
9K	"MOTO ZETA"
9L	TAMORETTI
9M	SKYJET
9N	SKYGO
9P	"MOTO MORINI"
9R	SUZUKO
9T	XINTIAN
9U	ZONGSHEN
9V	BAROSSA
9W	KINROAD
9X	RAIDER
9Y	BASHAN
A0	AUSTIN
A1	MORRIS
A2	WOLSELEY
A3	MG
A4	RILEY
A5	"VANDEN PLAS"
A6	"AUSTIN HEALEY"
A7	"LEYLAND CARS"
A8	"AUSTIN MORRIS"
AA	"CLASSIC REPLICAS"
AB	AUTO-TRAIL
AD	TESLA
AG	AGRIFAC
AH	"HOLMER EXXACT"
B0	ASQUITH
B1	ROVER
B2	"LAND ROVER"
B3	JAGUAR
B4	DAIMLER
B5	TRIUMPH
B6	"FREIGHT ROVER"
B7	"LEYLAND DAF"
B8	ALBION
BA	LDV
BB	MINI
BC	MGXPOWER
BD	SCARAB
C0	AUSTIN-MORRIS
C1	"LEYLAND REDLINE"
C2	"LEYLAND AEC"
C3	"LEYLAND SCOTSTOUN"
