code	name
187FA	ABARTH
187FB	AC
187FC	ADLY
187FD	AEON
187FE	AJP
187FF	AJS
18800	"ALFA ROMEO"
18801	ALFER
18802	APRILIA
18803	ARIEL
18804	ASIA
18805	ASQUITH
18806	"ASTON MARTIN"
18807	ATALA
18808	AUDI
18809	BAJAJ
1880A	BASHAN
1880B	BATTISTINIS
1880C	BEDFORD
1880D	BENELLI
1880E	BENTLEY
1880F	BETAMOTOR
18810	BIMOTA
18811	BMW
18812	BOOM
18813	BRANSON
18814	BRISTOL
18815	"BRITISH TRACKSTAR"
18816	BSA
18817	BUELL
18818	CADILLAC
18819	CAGIVA
1881A	CATERHAM
1881B	CCM
1881C	CHAMP
1881D	CHEVROLET
1881E	"CH RACING"
1881F	CHRYSLER
18820	"CHRYSLER JEEP"
18821	CITROEN
18822	"COLEMAN MILNE"
18823	CORVETTE
18824	CPI
18825	CZ
18826	DACIA
18827	DAELIM
18828	DAEWOO
18829	DAIHATSU
1882A	DAIMLER
1882B	DERBI
1882C	"DI BLASI"
1882D	DODGE
1882E	DUCATI
1882F	"EASY RIDER"
18830	EGO
18831	ENFIELD
18832	EUROPED
18833	EVT
18834	FACTORY
18835	FERRARI
18836	FIAT
18837	FORD
18838	FOSTI
18839	"FSO CARS"
1883A	FUSO
1883B	GARELLI
1883C	"GAS GAS"
1883D	"GENERAL MOTORS"
1883E	GENERIC
1883F	GILERA
18840	"HARLEY DAVIDSON"
18841	HARTFORD
18842	HERO
18843	"HERO PUCH"
18844	HESKETH
18845	HIGHLAND
18846	HIMO
18847	"HMC SPORTSCARS"
18848	HONDA
18849	HUMMER
1884A	HUSABERG
1884B	HUSQVARNA
1884C	HYOSUNG
1884D	HYUNDAI
1884E	INDIAN
1884F	INFINITI
18850	INNOCENTI
18851	ISUZU
18852	ITALJET
18853	ITALVEL
18854	IVECO
18855	JAGUAR
18856	JAWA
18857	JEEP
18858	JENSEN
18859	JIALING
1885A	JIANSHE
1885B	JINLUN
1885C	JONWAY
1885D	KANGDA
1885E	KANUNI
1885F	KAWASAKI
18860	KAWATA
18861	KEEN
18862	KIA
18863	KINETIC
18864	KINLON
18865	KTM
18866	KYMCO
18867	LADA
18868	LAMBORGHINI
18869	LAMBRETTA
1886A	LANCIA
1886B	"LAND ROVER"
1886C	LANYING
1886D	LAVERDA
1886E	LDV
1886F	LEXUS
18870	"LIFAN HONGDA"
18871	LML
18872	LONCIN
18873	"LONDON TAXIS INT"
18874	LOTUS
18875	MAHINDRA
18876	MALAGUTI
18877	"MANET PUCH"
18878	MARCOS
18879	MASERATI
1887A	MATCHLESS
1887B	MAZDA
1887C	MBK
1887D	MCLAREN
1887E	MERCEDES
1887F	MG
18880	MICROCAR
18881	MIG
18882	MINI
18883	MINSK
18884	MITSUBISHI
18885	"MITSUBISHI FUSO"
18886	MODENAS
18887	MONDIAL
18888	MONTESA
18889	"MOPEDS SLOVAKIA"
1888A	MORGAN
1888B	MORINI
1888C	MOSKVICH
1888D	"MOTO BENO"
1888E	"MOTO GUZZI"
1888F	MOTOMANET
18890	"MOTOR HISPANIA"
18891	"MOTOR JIKOV"
18892	"MOTO ROMA"
18893	"MV AGUSTA"
18894	MZ
18895	NEVAL
18896	NICE
18897	NISSAN
18898	NOBLE
18899	NORTON
1889A	OPEL
1889B	OXYGEN
1889C	PENTA
1889D	PERODUA
1889E	PEUGEOT
1889F	PGO
188A0	PIAGGIO
188A1	"POLSKI FIAT"
188A2	PORSCHE
188A3	PROTON
188A4	PUCH
188A5	PULSE
188A6	QINGQI
188A7	REGENT
188A8	RELIANT
188A9	RENAULT
188AA	RIEJU
188AB	"ROLLS ROYCE"
188AC	ROVER
188AD	ROVIGO
188AE	SAAB
188AF	SACHS
188B0	SANLI
188B1	SANTANA
188B2	SANYANG
188B3	SAO
188B4	SEAT
188B5	SECMA
188B6	SERVETA
188B7	"SHE LUNG"
188B8	SHERCO
188B9	SIAMOTO
188BA	SIMSON
188BB	SKODA
188BC	"SMART (MCC)"
188BD	SSANGYONG
188BE	"STANDARD MOTOR (SMC)"
188BF	STARWAY
188C0	SUBARU
188C1	SUNDIRO
188C2	SUZUKI
188C3	SYM
188C4	TAISHAN
188C5	TALBOT
188C6	TATA
188C7	TESLA
188C8	TGB
188C9	TOMOS
188CA	TOYOTA
188CB	TRABANT
188CC	TRIUMPH
188CD	TVR
188CE	UMM
188CF	URALMOTO
188D0	URBAN
188D1	UVM
188D2	VAUXHALL
188D3	VELOSOLEX
188D4	VICTORY
188D5	VOLKSWAGEN
188D6	VOLVO
188D7	VULCAN
188D8	WARTBURG
188D9	WESTFIELD
188DA	YAMAHA
188DB	YAMOTO
188DC	YUGO
188DD	ZEBRETTA
188DE	"ZY MOTOR"
