vehicle-industry	name
Agri	Agricultural/Forestry/Fishing
Mining	Mining & Quarrying
Food	Food/Drink/Tobacco
Coal	Coal/Petroleum
Chem	Chemicals
Metal	Metals
Engin	Mechanical/Instruments/Electrical Engineering
Ship	Shipping/Marine
Manuf	Vehicle Manufacturing
Cloth	Clothing/Footwear
Bricks	Bricks/Ceramics/Glass/Cement
Timber	Timber/Furniture
Paper	Paper/Printing/Publishing
Constr	Construction
Utilit	Gas/Electricity/Water
Tcom	Transport-Telecommunications and Postal
Haulage	Transport-Long Distance Haulage
Distrib	Transport-Local Distribution
Banking	Insurance/Banking/Finance/Business
Educ	Professional/Scientific/Education
Defence	Public Admin/Defence
Hotels	Hotel/Restaurants
Health	Health/Social Work
Lease	Equipment Leasing/Rental and Contract Hire
Private	Private Households
Unspec	Other (Miscellaneous)
